mood_label,tf-idf,word
0,0.0002514701921165618,need
0,0.00030562259557059276,wonder
0,0.0018000810561190873,attract
0,4.841410650474406e-05,strong
0,0.000969334943038091,leader
0,7.259699754755456e-05,like
0,0.000993412757968897,rest
0,0.0003456594215933088,cut
0,0.0023640504034846467,wimpfyi
0,0.0017329980909538583,donaldtrump
0,0.0006915162463894299,hater
0,0.0019063773449716898,admit
0,0.00421789628987523,trump
0,7.818071736321468e-05,win
0,0.0,amp
0,0.0016478821845218642,watch
0,0.003322822365621961,learn
0,0.0015311893326650928,08
0,0.0010674751240656241,17
0,0.009098239977507756,2015
0,0.0009489519600982808,18
0,0.003117301834667896,05
0,0.001896010880172794,16
0,0.0023640504034846467,1665
0,0.0023640504034846467,2330
0,0.0022716332944705867,fals
0,0.0023640504034846467,633338821019611140
0,0.006151949619977815,twitter
0,0.006957724779092316,android
0,0.001088430973408671,rush
0,0.00039595737249690426,fire
0,0.00011176184728157399,today
0,0.00013124576130378338,realli
0,0.0023640504034846467,finger
0,0.0020082253621294386,puls
0,0.0023640504034846467,shamer
0,0.000973880895731972,el
0,0.0023640504034846467,rushbopleas
0,0.0005384005884515217,see
0,0.0007535617813965098,statement
0,0.0002144693028750117,made
0,6.286754802914045e-05,media
0,0.0007772729633623078,surpris
0,0.0010674751240656241,special
0,0.0023640504034846467,personmelania
0,0.0009407502380638143,send
0,0.0012965752794190225,deepest
0,0.0007772729633623078,condol
0,0.001444256014763879,frank
0,0.00015457140286648954,amaz
0,0.0007323920820097175,person
0,0.0023640504034846467,missmiss
0,0.00013165629976270656,thank
0,0.00025682220412438707,support
0,0.0001668572171435061,polit
0,0.0009407502380638143,correct
0,0.0006326346400655205,kill
0,6.191171983676493e-05,countri
0,0.0023640504034846467,weakreport
0,0.0020082253621294386,robinson
0,0.0006721423613879683,establish
0,0.0,get
0,0.0013830324927788598,fall
0,0.0,want
0,0.0023640504034846467,thanklifelong
0,0.0010207928884433952,liber
0,0.00014901579637543197,come
0,0.0020082253621294386,fuck
0,0.003494927429235693,love
0,0.0005074910901589119,speak
0,0.0023640504034846467,truthgotta
0,0.0030142471255860392,white
0,0.0010337651474139969,hous
0,0.0003068978443304006,game
0,0.0023640504034846467,changercall
0,0.0012297346450992376,focu
0,0.0003875885956252735,group
0,2.6331259952541317e-05,total
0,0.0006915162463894299,joke
0,0.00046371420859946864,offic
0,0.0,look
0,0.0007044066881462021,busi
0,0.0023640504034846467,clowndonald
0,0.0003852333061865806,know
0,0.0,go
0,0.0008790819018141064,2016
0,0.0023640504034846467,winlike
0,0.0012361117087535277,everyday
0,0.00015636143472642935,say
0,0.00039595737249690426,hear
0,0.0004967063789844485,understand
